method,seed,D_aligned,sign_D,Delta_mu_aligned,Delta_rho_aligned
TwoStage-Hajek,30003,-0.0115737521233121,-1,0.0003376825707852,0.0119114346940973
TwoStage-Hajek,30004,-0.020736654949534,-1,-0.0006333200799968,0.0201033348695371
TwoStage-Hajek,30005,-0.0521772758726755,-1,0.0005102045702551,0.0526874804429307
TwoStage-Hajek,30006,-0.0256335910505913,-1,0.0034598720418672,0.0290934630924586
TwoStage-Hajek,30007,-0.0020387496733704,-1,-0.0001032023084086,0.0019355473649618
TwoStage-Hajek,30008,-0.0448123336762044,-1,-8.41386197831806e-05,0.0447281950564212
TwoStage-Hajek,30009,-0.0025393763231844,-1,0.0019624338087986,0.0045018101319831
TwoStage-Hajek,30010,-0.0369336553653208,-1,0.0017589429312871,0.038692598296608
TwoStage-Hajek,30011,-0.0152274212025828,-1,0.0016527369175818,0.0168801581201646
TwoStage-Hajek,30012,-0.0237249924057473,-1,0.0003079580380562,0.0240329504438036
TwoStage-Hajek,30013,-0.0030824917600839,-1,-0.0008059060761239,0.0022765856839599
TwoStage-Hajek,30014,-0.0362359964450937,-1,0.0011729074805624,0.0374089039256562
TwoStage-Hajek,30015,-0.0303033586388423,-1,0.0012568747346302,0.0315602333734725
TwoStage-Hajek,30016,-0.0800179527793275,-1,0.0040809571357636,0.0840989099150911
TwoStage-Hajek,30017,0.0058318860132005,1,-0.0001486668506105,-0.005980552863811
TwoStage-Hajek,30018,-0.0354522495583111,-1,0.0006076770726464,0.0360599266309575
TwoStage-Hajek,30019,-0.0322735817722644,-1,0.0007179967309134,0.0329915785031779
TwoStage-Hajek,30020,-0.0053233728717496,-1,0.0002582660733245,0.0055816389450742
RAVEN-MCS,30001,0.0009144762647645,1,-0.0003641847054391,-0.0012786609702037
RAVEN-MCS,30002,0.0249170775704048,1,0.0002401941761809,-0.0246768833942239
RAVEN-MCS,30003,-0.0109945930170423,-1,0.0002798639863696,0.011274457003412
RAVEN-MCS,30004,-0.0205181112260732,-1,-0.0003175348063433,0.0202005764197299
RAVEN-MCS,30005,-0.0518402476606527,-1,0.0005529340204539,0.0523931816811067
RAVEN-MCS,30006,-0.0245935616664365,-1,0.0023029604152113,0.0268965220816479
RAVEN-MCS,30007,-0.0011338309358894,-1,7.554706717760595e-05,0.001209378003067
RAVEN-MCS,30008,-0.044863572456637,-1,0.0002853044321029,0.04514887688874
RAVEN-MCS,30009,-0.0022435472252859,-1,0.0020529681325431,0.0042965153578291
RAVEN-MCS,30010,-0.0362418389030088,-1,0.001225239358618,0.0374670782616268
RAVEN-MCS,30011,-0.0131485359853784,-1,0.0022237393974964,0.0153722753828748
RAVEN-MCS,30012,-0.0228057109972389,-1,-1.776335102476878e-05,0.0227879476462141
RAVEN-MCS,30013,-0.0014067584509309,-1,-0.0006654699730366,0.0007412884778943
RAVEN-MCS,30014,-0.0366091110463115,-1,0.0013484355064758,0.0379575465527874
RAVEN-MCS,30015,-0.03020070449152,-1,0.0007749961260814,0.0309757006176014
RAVEN-MCS,30016,-0.0799330549005766,-1,0.0039727567819127,0.0839058116824894
RAVEN-MCS,30017,0.0057126077103766,1,-3.0340528857975e-05,-0.0057429482392346
RAVEN-MCS,30018,-0.0354567717956257,-1,0.0006254218625687,0.0360821936581945
RAVEN-MCS,30019,-0.0327531250633282,-1,0.0005127236350697,0.0332658486983979
RAVEN-MCS,30020,-0.0043540921048952,-1,0.0005680620223453,0.0049221541272406
