round,dataset,scenario,method_or_configuration,seed,metric,value,status,comparison_class,paper_role,source_file,source_row_or_key,source_sha256,scientific_status,notes
E1,Balanced,balanced_no_harm,FedAsync-Window,28002,Tail_RMSE,8.44511078595021,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28002_20260803_100507_659164,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28002,Delta_group,0.1412903225806452,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28002_20260803_100507_659164,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28002,Delta_c_s,0.60478577028678,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28002_20260803_100507_659164,,VALID,
E1,Balanced,balanced_no_harm,FedAsync-Window,28002,RMSE_rho,7.120820171081717,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedasync_window_28002_20260803_100507_659164,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28002,RMSE_mu,7.715748529899211,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28002_20260803_100418_358712,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28002,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28002_20260803_100418_358712,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28002,Tail_RMSE,8.44400963962359,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28002_20260803_100418_358712,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28002,Delta_group,0.1412903225806452,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28002_20260803_100418_358712,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28002,Delta_c_s,0.60478577028678,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28002_20260803_100418_358712,,VALID,
E1,Balanced,balanced_no_harm,FedAvg-Window,28002,RMSE_rho,7.119743460972178,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_fedavg_window_28002_20260803_100418_358712,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28002,RMSE_mu,7.707563391460687,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28002_20260803_100556_278837,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28002,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28002_20260803_100556_278837,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28002,Tail_RMSE,8.435637741817951,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28002_20260803_100556_278837,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28002,Delta_group,0.1412903225806452,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28002_20260803_100556_278837,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28002,Delta_c_s,0.60478577028678,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28002_20260803_100556_278837,,VALID,
E1,Balanced,balanced_no_harm,TimeAlign-Agg,28002,RMSE_rho,7.111650386706636,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_flamf_timealign_adapted_28002_20260803_100556_278837,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28002,RMSE_mu,7.716196771218803,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28002_20260803_100736_092013,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28002,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28002_20260803_100736_092013,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28002,Tail_RMSE,8.444458856993824,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28002_20260803_100736_092013,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28002,Delta_group,0.1412903225806452,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28002_20260803_100736_092013,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28002,Delta_c_s,0.60478577028678,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28002_20260803_100736_092013,,VALID,
E1,Balanced,balanced_no_harm,RAVEN-MCS,28002,RMSE_rho,7.120200687192093,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_raven_28002_20260803_100736_092013,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28002,RMSE_mu,7.718384319490541,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28002_20260803_100644_268825,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28002,MAE_mu,,MISSING_NOT_RECORDED,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28002_20260803_100644_268825,,VALID,
E1,Balanced,balanced_no_harm,TwoStage-Hajek,28002,Tail_RMSE,8.446710695339991,VALID,SCI_COMPARABLE_MAIN,E1_balanced_no_harm_sanity,outputs/aggregate/E1_R2/per_seed_metrics.csv,E1_FORMAL_twostage_hajek_28002_20260803_100644_268825,,VALID,
