dataset,seed,configuration,component,metric,full_RAVEN,ablation,absolute_change,relative_change_percent,status
SensorScope,30014,RAVEN-w/o-Design,Design,Delta_c_s,1.2852656734819687,1.2924070039043751,0.007141330422406389,0.555630681636389,VALID
SensorScope,30014,RAVEN-w/o-Design,Design,RMSE_mu,7.936370229252201,7.939182931113649,0.002812701861447664,0.035440658389152405,VALID
SensorScope,30014,RAVEN-w/o-Design,Design,Tail_RMSE,8.457964569118527,8.46081483431909,0.0028502652005624185,0.033699185865228416,VALID
SensorScope,30014,RAVEN-w/o-Obs,Obs,Delta_group,1.0340455375778568,1.0345806514682794,0.0005351138904226005,0.05174954786575925,VALID
SensorScope,30014,RAVEN-w/o-Obs,Obs,Delta_c_s,1.2852656734819687,1.2841867133920788,-0.0010789600898899465,-0.08394840943405024,VALID
SensorScope,30014,RAVEN-w/o-Obs,Obs,RMSE_mu,7.936370229252201,7.939365255898551,0.00299502664634943,0.03773799054018721,VALID
SensorScope,30014,RAVEN-w/o-Obs,Obs,Tail_RMSE,8.457964569118527,8.46099890997154,0.003034340853012907,0.035875544620886726,VALID
SensorScope,30014,RAVEN-w/o-Use,Use,Delta_group,1.0340455375778568,1.0356848739130717,0.0016393363352149581,0.1585361839145819,VALID
SensorScope,30014,RAVEN-w/o-Use,Use,Delta_c_s,1.2852656734819687,1.2813169229487835,-0.003948750533185219,-0.30723224113560027,VALID
SensorScope,30014,RAVEN-w/o-Use,Use,RMSE_mu,7.936370229252201,7.940056584946766,0.003686355694564547,0.04644888769146914,VALID
SensorScope,30014,RAVEN-w/o-Use,Use,Tail_RMSE,8.457964569118527,8.461693105825729,0.003728536707201968,0.04408314407955186,VALID
SensorScope,30014,RAVEN-w/o-Inst,Inst,Delta_group,1.0340455375778568,1.0314259025119958,-0.002619635065860937,-0.2533384624430716,VALID
SensorScope,30014,RAVEN-w/o-Inst,Inst,Delta_c_s,1.2852656734819687,1.2866682273900985,0.0014025539081297111,0.10912560236126059,VALID
SensorScope,30014,RAVEN-w/o-Inst,Inst,RMSE_mu,7.936370229252201,7.930167876361979,-0.006202352890221974,-0.07815100242376653,VALID
SensorScope,30014,RAVEN-w/o-Inst,Inst,Tail_RMSE,8.457964569118527,8.451657219454237,-0.0063073496642900295,-0.07457290241341563,VALID
SensorScope,30014,RAVEN-w/o-Debt,Debt,Delta_group,1.0340455375778568,1.0341402686296324,9.473105177559837e-05,0.009161206961687193,VALID
SensorScope,30014,RAVEN-w/o-Debt,Debt,Delta_c_s,1.2852656734819687,1.2853060218472172,4.034836524846597e-05,0.003139301553052177,VALID
SensorScope,30014,RAVEN-w/o-Debt,Debt,RMSE_mu,7.936370229252201,7.936400678845842,3.044959364029154e-05,0.0003836715369963358,VALID
SensorScope,30014,RAVEN-w/o-Debt,Debt,Tail_RMSE,8.457964569118527,8.45799326786547,2.8698746943334186e-05,0.0003393103235276985,VALID
SensorScope,30015,RAVEN-w/o-Design,Design,Delta_group,1.0068240353091447,1.0209953593519008,0.014171324042756117,1.4075273876834715,VALID
SensorScope,30015,RAVEN-w/o-Design,Design,Delta_c_s,1.261207381708227,1.274036094356577,0.01282871264834995,1.0171770982639077,VALID
SensorScope,30015,RAVEN-w/o-Design,Design,RMSE_mu,7.934870398845457,7.937605613218504,0.0027352143730468015,0.034470813454556,VALID
SensorScope,30015,RAVEN-w/o-Design,Design,Tail_RMSE,8.45590641716162,8.458691780951328,0.002785363789708839,0.032939860640555645,VALID
