dataset,availability_level,window_id,state_before_decision,C_hat,C_LCB,C_t,Gate_t,Design_t,certificate_valid,false_safe,reset_trigger_after_window
sensorscope,0.8,9,WARMUP,0.0836732931163243,0.0,0.0700048614487117,0,0,True,False,0
sensorscope,0.8,10,WARMUP,0.0818188138331642,0.0,0.0685464268351969,0,0,True,False,0
sensorscope,0.8,11,WARMUP,0.0798155249215223,0.0,0.067087992221682,0,0,True,False,0
sensorscope,0.8,12,WARMUP,0.0778498035897754,0.0,0.0843391902215432,0,0,True,False,0
sensorscope,0.8,13,WARMUP,0.0764835273149822,0.0,0.0766719911104937,0,0,True,False,0
sensorscope,0.8,14,WARMUP,0.0751954420075096,0.0,0.0709215917772067,0,0,True,False,0
sensorscope,0.8,15,WARMUP,0.073956972741917,0.0,0.0881727897770679,0,0,True,False,0
sensorscope,0.8,16,WARMUP,0.0737160082623042,0.0,0.0862559899993055,0,0,True,False,0
sensorscope,0.8,17,WARMUP,0.0739421665866282,0.0,0.0881727897770679,0,0,True,False,0
sensorscope,0.8,18,WARMUP,0.0744592790501288,0.0,0.1120077783179387,0,0,True,False,0
sensorscope,0.8,19,CERTIFIED,0.0759920912675292,0.0493856234922946,0.0863393291200777,0,0,True,False,0
sensorscope,0.8,20,CERTIFIED,0.0772201588759503,0.0506136911007158,0.1073407875546913,1,1,True,False,0
sensorscope,0.8,21,CERTIFIED,0.0789761560193789,0.0523696882441444,0.1026737967914438,1,1,True,False,0
sensorscope,0.8,22,CERTIFIED,0.0811248908230972,0.0545184230478627,0.1003403014098201,1,1,True,False,0
sensorscope,0.8,23,CERTIFIED,0.0829878289287865,0.056381361153552,0.1026737967914438,1,1,True,False,0
sensorscope,0.8,24,CERTIFIED,0.1217722623439489,0.0951657945687144,0.1462323772484201,1,1,True,False,0
sensorscope,0.8,25,CERTIFIED,0.1244822218130462,0.0978757540378117,0.1337870685464268,1,1,True,False,0
sensorscope,0.8,26,CERTIFIED,0.1263447968618562,0.0997383290866217,0.1213417598444336,1,1,True,False,0
sensorscope,0.8,27,CERTIFIED,0.1269027823708392,0.1002963145956047,0.1244530870199319,1,1,True,False,0
sensorscope,0.8,28,CERTIFIED,0.1273168163847788,0.1007103486095443,0.1462323772484201,1,1,True,False,0
sensorscope,0.8,29,CERTIFIED,0.127866739676684,0.1012602719014495,0.1400097228974234,1,1,True,False,0
sensorscope,0.8,30,CERTIFIED,0.1276064827833969,0.1010000150081623,0.1283422459893048,1,1,True,False,0
sensorscope,0.8,31,CERTIFIED,0.1263017607719634,0.0996952929967289,0.1312591152163345,1,1,True,False,0
sensorscope,0.8,32,CERTIFIED,0.1248030722484598,0.0981966044732253,0.1166747690811861,1,1,True,False,0
sensorscope,0.8,33,CERTIFIED,0.1228259449873748,0.0962194772121403,0.1341759844433641,1,1,True,False,0
sensorscope,0.8,34,CERTIFIED,0.1210636522234897,0.0944571844482551,0.1370928536703938,1,1,True,False,0
sensorscope,0.8,35,CERTIFIED,0.1194343435187159,0.0928278757434814,0.1195916383082158,1,1,True,False,0
sensorscope,0.8,36,CERTIFIED,0.1171950904125176,0.090588622637283,0.1047850545176748,1,1,True,False,0
sensorscope,0.8,37,CERTIFIED,0.1148662590906052,0.0882597913153707,0.1047850545176748,1,1,True,False,0
sensorscope,0.8,38,CERTIFIED,0.1132026026005029,0.0865961348252683,0.1175637197027571,1,1,True,False,0
sensorscope,0.8,39,CERTIFIED,0.1124610624735046,0.0908177441055359,0.1201194527397736,1,1,True,False,0
sensorscope,0.8,40,CERTIFIED,0.1121845126149067,0.090541194246938,0.1098965205917077,1,1,True,False,0
sensorscope,0.8,41,CERTIFIED,0.1119857912754807,0.0903424729075121,0.1201194527397736,1,1,True,False,0
sensorscope,0.8,42,CERTIFIED,0.1125308577876831,0.0908875394197144,0.0933398152649489,1,1,True,False,0
sensorscope,0.8,43,CERTIFIED,0.113078114031125,0.0914347956631563,0.109674282936315,1,1,True,False,0
sensorscope,0.8,44,CERTIFIED,0.1143776617464658,0.0927343433784971,0.0956733106465726,1,1,True,False,0
sensorscope,0.8,45,CERTIFIED,0.1160283457915239,0.0943850274235552,0.1026737967914438,1,1,True,False,0
sensorscope,0.8,46,CERTIFIED,0.1178497719633973,0.0962064535954286,0.1050072921730675,1,1,True,False,0
sensorscope,0.8,47,CERTIFIED,0.1199749165874512,0.0983315982194825,0.0956733106465726,1,1,False,False,1
sensorscope,0.8,48,RESET,0.1214545699460102,0.0,0.1555663587749149,0,0,True,False,0
sensorscope,0.8,49,WARMUP,0.1242235178411876,0.0,0.1306757413709285,0,0,True,False,0
sensorscope,0.8,50,WARMUP,0.125776863215431,0.0,0.1368983957219251,0,0,True,False,0
sensorscope,0.8,51,WARMUP,0.1261607843915769,0.0,0.1368983957219251,0,0,True,False,0
sensorscope,0.8,52,WARMUP,0.1265781240497449,0.0,0.1337870685464268,0,0,True,False,0
sensorscope,0.8,53,WARMUP,0.1263641733722843,0.0,0.1213417598444336,0,0,True,False,0
sensorscope,0.8,54,WARMUP,0.1254176174488538,0.0,0.142926592124453,0,0,True,False,0
sensorscope,0.8,55,WARMUP,0.1248377799566451,0.0,0.1341759844433641,0,0,True,False,0
sensorscope,0.8,56,WARMUP,0.1237882288912813,0.0,0.1312591152163345,0,0,True,False,0
sensorscope,0.8,57,WARMUP,0.1220869615114,0.0,0.1312591152163345,0,0,True,False,0
sensorscope,0.8,58,WARMUP,0.1204478110123516,0.0,0.1254253767622751,0,0,True,False,0
sensorscope,0.8,59,WARMUP,0.1186882450372593,0.0,0.1254253767622751,0,0,True,False,0
sensorscope,0.8,60,WARMUP,0.1170628043602815,0.0,0.1098965205917077,0,0,True,False,0
sensorscope,0.8,61,WARMUP,0.1153186378598458,0.0,0.1175637197027571,0,0,True,False,0
sensorscope,0.6,0,WARMUP,0.0644191281323963,0.0,0.0544482255712202,0,0,True,False,0
sensorscope,0.6,1,WARMUP,0.0653032607779125,0.0,0.0575595527467185,0,0,True,False,0
sensorscope,0.6,2,WARMUP,0.0660361587985894,0.0,0.0482255712202236,0,0,True,False,0
sensorscope,0.6,3,WARMUP,0.0666735520108658,0.0,0.0435585804569761,0,0,True,False,0
sensorscope,0.6,4,WARMUP,0.0668460700341469,0.0,0.0560038891589693,0,0,True,False,0
sensorscope,0.6,5,WARMUP,0.0668500445619607,0.0,0.0544482255712202,0,0,True,False,0
sensorscope,0.6,6,WARMUP,0.0664017020982619,0.0,0.0525036460865338,0,0,True,False,0
sensorscope,0.6,7,WARMUP,0.0654308192127779,0.0,0.0495867768595041,0,0,True,False,0
sensorscope,0.6,8,WARMUP,0.0641118827676941,0.0,0.0510452114730189,0,0,True,False,0
sensorscope,0.6,9,WARMUP,0.0626028830588871,0.0,0.0597958191541079,0,0,True,False,0
sensorscope,0.6,10,WARMUP,0.0610869407296215,0.0,0.0539620807000486,0,0,True,False,0
sensorscope,0.6,11,WARMUP,0.0594161304158518,0.0,0.0466699076324744,0,0,True,False,0
sensorscope,0.6,12,WARMUP,0.0576743587573902,0.0,0.0651711924439197,0,0,True,False,0
sensorscope,0.6,13,WARMUP,0.0564482270161869,0.0,0.0651711924439197,0,0,True,False,0
sensorscope,0.6,14,WARMUP,0.0555036099363513,0.0,0.055587193555108,0,0,True,False,0
sensorscope,0.6,15,WARMUP,0.0546281057459325,0.0,0.0690047919994444,0,0,True,False,0
sensorscope,0.6,16,WARMUP,0.0543819158319862,0.0,0.0728383915549691,0,0,True,False,0
sensorscope,0.6,17,WARMUP,0.054657687279228,0.0,0.0632543926661573,0,0,True,False,0
sensorscope,0.6,18,WARMUP,0.055099508035125,0.0,0.0793388429752066,0,0,True,False,0
sensorscope,0.6,19,CERTIFIED,0.0561528625299854,0.0330378909760957,0.0653378706854642,0,0,True,False,0
sensorscope,0.6,20,CERTIFIED,0.0573754569930087,0.034260485439119,0.0793388429752066,0,0,True,False,0
sensorscope,0.6,21,CERTIFIED,0.0589368455876691,0.0358218740337794,0.0606708799222168,0,0,True,False,0
sensorscope,0.6,22,CERTIFIED,0.0604646809056159,0.0373497093517262,0.0863393291200777,0,0,True,False,0
sensorscope,0.6,23,CERTIFIED,0.0623135745157832,0.0391986029618935,0.084005833738454,0,0,True,False,0
sensorscope,0.6,24,CERTIFIED,0.0917205989987267,0.068605627444837,0.1120077783179387,1,1,True,False,0
sensorscope,0.6,25,CERTIFIED,0.0934830804501065,0.0703681088962168,0.1057851239669421,1,1,True,False,0
sensorscope,0.6,26,CERTIFIED,0.0947898293944524,0.0716748578405628,0.084005833738454,1,1,True,False,0
sensorscope,0.6,27,CERTIFIED,0.0952121373379549,0.0720971657840652,0.0902284880894506,1,1,True,False,0
sensorscope,0.6,28,CERTIFIED,0.0954424611329136,0.0723274895790239,0.1057851239669421,1,1,True,False,0
sensorscope,0.6,29,CERTIFIED,0.0956108708255375,0.0724958992716478,0.1120077783179387,1,1,True,False,0
sensorscope,0.6,30,CERTIFIED,0.095317860900989,0.0722028893470993,0.0904229460379193,1,1,True,False,0
sensorscope,0.6,31,CERTIFIED,0.0941735725802642,0.0710586010263745,0.1108410306271269,1,1,True,False,0
sensorscope,0.6,32,CERTIFIED,0.0929956470165779,0.0698806754626882,0.0904229460379193,1,1,True,False,0
sensorscope,0.6,33,CERTIFIED,0.0914099044115075,0.0682949328576178,0.0933398152649489,1,1,True,False,0
sensorscope,0.6,34,CERTIFIED,0.0896157351388261,0.0665007635849364,0.1108410306271269,1,1,True,False,0
sensorscope,0.6,35,CERTIFIED,0.088197755362196,0.0650827838083063,0.1020904229460379,1,1,True,False,0
sensorscope,0.6,36,CERTIFIED,0.086650820995222,0.0635358494413323,0.0766719911104938,1,1,True,False,0
sensorscope,0.6,37,CERTIFIED,0.0848298962188176,0.0617149246649279,0.0843391902215431,1,1,True,False,0
sensorscope,0.6,38,CERTIFIED,0.0835729967924916,0.0604580252386019,0.0894506562955761,1,1,True,False,0
sensorscope,0.6,39,CERTIFIED,0.0829494106423556,0.0651388230639898,0.0690047919994444,1,1,True,False,0
sensorscope,0.6,40,CERTIFIED,0.0823771051933642,0.0645665176149984,0.0920063893325925,1,1,True,False,0
sensorscope,0.6,41,CERTIFIED,0.0825853494134357,0.0647747618350699,0.0920063893325925,1,1,True,False,0
sensorscope,0.6,42,CERTIFIED,0.0833196610009665,0.0655090734226007,0.0630043753038405,1,1,False,False,1
sensorscope,0.6,43,RESET,0.0855255345930014,0.0,0.0700048614487117,0,0,True,False,0
sensorscope,0.6,44,WARMUP,0.0864351058632443,0.0,0.0793388429752066,0,0,True,False,0
sensorscope,0.6,45,WARMUP,0.0879334551622129,0.0,0.0723383568303354,0,0,True,False,0
sensorscope,0.6,46,WARMUP,0.0892844042973274,0.0,0.084005833738454,0,0,True,False,0
sensorscope,0.6,47,WARMUP,0.0907467403647008,0.0,0.0700048614487117,0,0,True,False,0
sensorscope,0.6,48,WARMUP,0.0918989144136162,0.0,0.1244530870199319,0,0,True,False,0
sensorscope,0.6,49,WARMUP,0.0936752984222639,0.0,0.0902284880894506,0,0,True,False,0
sensorscope,0.6,50,WARMUP,0.0945296134588981,0.0,0.0964511424404472,0,0,True,False,0
sensorscope,0.6,51,WARMUP,0.0947574819110518,0.0,0.0964511424404472,0,0,True,False,0
sensorscope,0.6,52,WARMUP,0.094963590768597,0.0,0.0995624696159455,0,0,True,False,0
sensorscope,0.6,53,WARMUP,0.0947946330184402,0.0,0.0746718522119591,0,0,True,False,0
sensorscope,0.6,54,WARMUP,0.0938696410599149,0.0,0.1020904229460379,0,0,True,False,0
sensorscope,0.6,55,WARMUP,0.0931640507601411,0.0,0.0962566844919786,0,0,True,False,0
sensorscope,0.6,56,WARMUP,0.0922477306039358,0.0,0.0991735537190082,0,0,True,False,0
sensorscope,0.6,57,WARMUP,0.0909518257603093,0.0,0.1020904229460379,0,0,True,False,0
sensorscope,0.6,58,WARMUP,0.0896671471450827,0.0,0.0816723383568303,0,0,True,False,0
sensorscope,0.6,59,WARMUP,0.0880239574839315,0.0,0.0991735537190082,0,0,True,False,0
sensorscope,0.6,60,WARMUP,0.0868312458491308,0.0,0.0766719911104938,0,0,True,False,0
sensorscope,0.6,61,WARMUP,0.0855997643094824,0.0,0.0741162580734773,0,0,True,False,0
sensorscope,0.4,0,WARMUP,0.0434707039925799,0.0,0.0326689353427321,0,0,True,False,0
sensorscope,0.4,1,WARMUP,0.0440123461385236,0.0,0.0482255712202236,0,0,True,False,0
