dataset,method,seed,Delta_group,Delta_group_status,Delta_c_s,Delta_c_s_status,comparison_class
U-Air,FedAvg-Window,30009,1.1069862483777573,VALID,1.2403882150344414,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30010,1.0954211643023757,VALID,1.283189915172376,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30011,1.1814603748566008,VALID,1.2856964781493083,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30012,1.0400328137817878,VALID,1.2182565725223642,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30013,1.157981847525872,VALID,1.287803650460883,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30014,1.116756954354068,VALID,1.2438093476384264,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30015,1.0868882899071572,VALID,1.2354800838574422,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30016,1.082762178627883,VALID,1.262795827307481,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30017,1.0610427765755956,VALID,1.2071196571462317,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30018,1.1049589961770867,VALID,1.2762131582192624,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30019,1.1709545629024762,VALID,1.2962672355842697,VALID,SCI_COMPARABLE_MAIN
U-Air,FedAvg-Window,30020,1.174604458135455,VALID,1.2873293971676725,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30001,1.115339377603528,VALID,1.2515171934983256,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30002,1.157407407407407,VALID,1.2961106743535988,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30003,1.0809861264020175,VALID,1.2365575001370908,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30004,1.1346710591993605,VALID,1.2813830773399506,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30005,1.11809729430118,VALID,1.25658656403517,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30006,1.195618969490995,VALID,1.3265934867247418,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30007,1.121515423779574,VALID,1.256416891284816,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30008,1.1355161938989426,VALID,1.2245854190732897,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30009,1.1088050314465403,VALID,1.2422069981032244,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30010,1.0914273903378335,VALID,1.2810740754801344,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30011,1.1806545825413743,VALID,1.2832851719644172,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30012,1.040980767477896,VALID,1.2187214344310324,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30013,1.1580590080196993,VALID,1.2920860578682904,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30014,1.1151229674259635,VALID,1.2447897397952892,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30015,1.086729559748427,VALID,1.2353213536987122,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30016,1.084154150510976,VALID,1.264187799190574,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30017,1.061348652233584,VALID,1.2055658900995068,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30018,1.1042237020594396,VALID,1.2758980321688422,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30019,1.1694913717103457,VALID,1.2954207424842556,VALID,SCI_COMPARABLE_MAIN
U-Air,TimeAlign-Agg,30020,1.175359175116587,VALID,1.292097719590981,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30001,1.1131258678428484,VALID,1.2480410574750196,VALID,SCI_COMPARABLE_MAIN
U-Air,Local-Hajek,30002,1.1569223985890646,VALID,1.2954327643006889,VALID,SCI_COMPARABLE_MAIN
