dataset,method,seed,RMSE_mu,WorstGroupRMSE,Delta_group,Delta_c_s,path_status
tdrive_speed,twostage_hajek,30004,1.137010601750799,1.353381025684078,0.594104940669108,1.964504842528442,REAL_PATH_EXECUTED
tdrive_speed,fedau_window,30004,1.084193576596606,1.2682511524805602,0.5231741478859562,1.9914814846058608,REAL_PATH_EXECUTED
tdrive_speed,obsuse_window,30004,1.084078332561989,1.2679661782871003,0.5231741478859562,1.991500806526254,REAL_PATH_EXECUTED
tdrive_speed,raven_wo_design,30004,1.1096828047423022,1.3146503394991134,0.5231741478859562,1.9935032040219953,REAL_PATH_EXECUTED
tdrive_speed,raven,30004,1.1386542686790488,1.3555895200200117,0.5941049406691079,1.9778461191665593,REAL_PATH_EXECUTED
tdrive_speed,fedavg_window,30005,1.1052573192628563,1.3080370871930842,0.523174147885956,1.9760817386682272,REAL_PATH_EXECUTED
tdrive_speed,twostage_hajek,30005,1.1424099306758173,1.3610620568407281,0.5941049406691079,1.965089253312588,REAL_PATH_EXECUTED
tdrive_speed,fedau_window,30005,1.0913581213425767,1.2836646242229532,0.523174147885956,1.9903618709418855,REAL_PATH_EXECUTED
tdrive_speed,obsuse_window,30005,1.0910976077251988,1.2831500815123336,0.523174147885956,1.9904096536954619,REAL_PATH_EXECUTED
tdrive_speed,raven_wo_design,30005,1.1099289770896337,1.3153837835803504,0.5231741478859561,1.9934216729659968,REAL_PATH_EXECUTED
tdrive_speed,raven,30005,1.1452347276673491,1.3647767472679464,0.5941049406691079,1.9778497094480034,REAL_PATH_EXECUTED
tdrive_speed,fedavg_window,30006,1.1021234558707076,1.3034335489946476,0.5231741478859557,1.9756169979979294,REAL_PATH_EXECUTED
tdrive_speed,twostage_hajek,30006,1.1260292224090762,1.3394324316026913,0.5854796037418843,1.9647119830211692,REAL_PATH_EXECUTED
tdrive_speed,fedau_window,30006,1.0809129137290892,1.258478894415658,0.5231741478859562,1.9915640715688518,REAL_PATH_EXECUTED
tdrive_speed,obsuse_window,30006,1.0808890837930625,1.2583963076889022,0.5231741478859561,1.991604277080639,REAL_PATH_EXECUTED
tdrive_speed,raven_wo_design,30006,1.1082593283341142,1.3132774604489486,0.523174147885956,1.993795943493305,REAL_PATH_EXECUTED
tdrive_speed,raven,30006,1.124430483727074,1.3371754644497131,0.5854796037418842,1.97746195384072,REAL_PATH_EXECUTED
tdrive_speed,fedavg_window,30007,1.1055096117457959,1.3085452777162807,0.5231741478859562,1.976465805205791,REAL_PATH_EXECUTED
tdrive_speed,twostage_hajek,30007,1.122602363921239,1.334059112299117,0.594104940669108,1.9647282799718802,REAL_PATH_EXECUTED
tdrive_speed,fedau_window,30007,1.0872447424057101,1.2756652855936288,0.5231741478859561,1.9930809049082499,REAL_PATH_EXECUTED
tdrive_speed,obsuse_window,30007,1.0870201889691633,1.2751745258460252,0.5231741478859561,1.9931137003983284,REAL_PATH_EXECUTED
tdrive_speed,raven_wo_design,30007,1.1053850416780273,1.3083441513654548,0.5231741478859562,1.9940893977304355,REAL_PATH_EXECUTED
tdrive_speed,raven,30007,1.1235753485796174,1.3354263450990835,0.594104940669108,1.978615078718635,REAL_PATH_EXECUTED
